EIN,NAME,Address,STREET,CITY,STATE,ZIP
263567344,LAGUNA YACHT CLUB,"100 LAGUNA DR HURON, OH 44839-2655",100 LAGUNA DR,HURON,OH,44839-2655
263648665,1ST OHIO LIGHT ARTILLERY BATTERY A,"1 CAPITAL SQUARE COLUMBUS, OH 43215-4275",1 CAPITAL SQUARE,COLUMBUS,OH,43215-4275
263888045,PROMEDICA NORTHWEST OHIO CARDIOLOGY CONSULTANTS LLC,"100 MADISON AVE TOLEDO, OH 43604-1516",100 MADISON AVE,TOLEDO,OH,43604-1516
264082067,GREAT SPORTS AND LIFE CENTER,"1000 BATTLES AVE AKRON, OH 44314-2755",1000 BATTLES AVE,AKRON,OH,44314-2755
264155319,COLLECTIVE EMPOWERMENT GROUP OF CINCINNATI,"1 N COMMERCE PARK DR STE 227 LOCKLAND, OH 45215-3188",1 N COMMERCE PARK DR STE 227,LOCKLAND,OH,45215-3188
264201553,SIGMA DELTA PHI OF OTTERBEIN COLLEGE,"1 S GROVE ST WESTERVILLE, OH 43081-2004",1 S GROVE ST,WESTERVILLE,OH,43081-2004
264308958,RICHARD DESICH FOUNDATION,"1 EQUITY WAY WESTLAKE, OH 44145-1050",1 EQUITY WAY,WESTLAKE,OH,44145-1050
264368245,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,"100 N MARKET ST ST CLAIRSVLE, OH 43950-1220",100 N MARKET ST,ST CLAIRSVLE,OH,43950-1220
264623802,TEAM ROADRUNNERS,"100 FOX HOLLOW DR LIMA, OH 45804-3650",100 FOX HOLLOW DR,LIMA,OH,45804-3650
270014773,WINDOW ARTS ENRICHMENT,"10267 PIPPIN RD CINCINNATI, OH 45231-1861",10267 PIPPIN RD,CINCINNATI,OH,45231-1861
270121577,HANCOCK PROPERTIES FOUNDATION,"101 W SANDUSKY ST STE 207 FINDLAY, OH 45840-3276",101 W SANDUSKY ST STE 207,FINDLAY,OH,45840-3276
270199133,HOPE OUTREACH CENTER INC,"1018 MARIETTA ST ZANESVILLE, OH 43701-4433",1018 MARIETTA ST,ZANESVILLE,OH,43701-4433
270292912,FREEDOM IN HIS PRESENCE,"1002 LAKE ST STE 530 KENT, OH 44240-0000",1002 LAKE ST STE 530,KENT,OH,44240-0000
270406101,CLEAR FORK MUSIC BOOSTERS,"101 WORSHIRE RD BELLVILLE, OH 44813-1037",101 WORSHIRE RD,BELLVILLE,OH,44813-1037
270497199,HEARTLAND HOSPICE MEMORIAL FUND,"100 MADISON AVE TOLEDO, OH 43604-1516",100 MADISON AVE,TOLEDO,OH,43604-1516
270712680,BEAVERCREEK MEDICAL CENTER,"1 PRESTIGE PLACE 910 MIAMISBURG, OH 45342-3794",1 PRESTIGE PLACE 910,MIAMISBURG,OH,45342-3794
270725439,CENTURION CENTER,"10020 PAGE RD STREETSBORO, OH 44241-5142",10020 PAGE RD,STREETSBORO,OH,44241-5142
270780916,FRIENDS OF CROWELL HILAKA,"100 WANDLE AVE BEDFORD, OH 44146-2656",100 WANDLE AVE,BEDFORD,OH,44146-2656
271117150,HOCKEY PLAYERS FOR KIDS INC,"100 BROADWAY ST CINCINNATI, OH 45202-3514",100 BROADWAY ST,CINCINNATI,OH,45202-3514
271148918,ANDY NOWACKI FOUNDATION,"10 MILL MORR DR PAINESVILLE, OH 44077-1330",10 MILL MORR DR,PAINESVILLE,OH,44077-1330
271193265,NORWALK AREA VISITORS BUREAU INC,"10 W MAIN ST NORWALK, OH 44857-1408",10 W MAIN ST,NORWALK,OH,44857-1408
271280546,FREEDOM GIRLS SOCCER CLUB PARENT ORGANIZATION,"10256 DUNCAN PLAINS RD JOHNSTOWN, OH 43031-9503",10256 DUNCAN PLAINS RD,JOHNSTOWN,OH,43031-9503
271700812,ACE MENTOR PROGRAM OF CENTRAL OHIO INC,"10 W BROAD ST STE 2300 COLUMBUS, OH 43215-3484",10 W BROAD ST STE 2300,COLUMBUS,OH,43215-3484
271869040,CRIM ELEMENTARY SCHOOL PTO INC,"1020 SCOTT HAMILTON AVE BOWLING GREEN, OH 43402-3245",1020 SCOTT HAMILTON AVE,BOWLING GREEN,OH,43402-3245
271921555,THE STEWARDSHIP FOUNDATION INC,"100 E CAMPUS VIEW BLVD STE 250 COLUMBUS, OH 43235-0000",100 E CAMPUS VIEW BLVD STE 250,COLUMBUS,OH,43235-0000
271963842,DAWSON-BRYANT EDUCATION ASSOCIATION,"1 HORNET LN COAL GROVE, OH 45638-2994",1 HORNET LN,COAL GROVE,OH,45638-2994
272092779,REVITALIZATION FOUNDATION,"1 S MAIN ST STE 1300 DAYTON, OH 45402-2058",1 S MAIN ST STE 1300,DAYTON,OH,45402-2058
272247399,OHIO STATE UNIVERSITY,"10026 WEBB RD LOGAN, OH 43138-8325",10026 WEBB RD,LOGAN,OH,43138-8325
272360806,FRIENDS OF THE YOUNGSTOWN HISTORICAL CENTER OF INDUSTRY AND,"1 UNIVERSITY PLZ YOUNGSTOWN, OH 44555-0001",1 UNIVERSITY PLZ,YOUNGSTOWN,OH,44555-0001
272806583,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,"101516 ELIZABETH ST GOSHEN, OH 45122-0000",101516 ELIZABETH ST,GOSHEN,OH,45122-0000
272920342,PROMEDICA MONROE CARDIOLOGY PLLC,"100 MADISON AVE TOLEDO, OH 43604-1516",100 MADISON AVE,TOLEDO,OH,43604-1516
272948434,VICTORIOUS EMPOWERMENT WORSHIP CENTER,"1024 HOLDERNESS LN CINCINNATI, OH 45240-1863",1024 HOLDERNESS LN,CINCINNATI,OH,45240-1863
273254062,FRATERNAL ORDER OF POLICE,"101 HOME RD MOUNT GILEAD, OH 43338-9806",101 HOME RD,MOUNT GILEAD,OH,43338-9806
273318483,BEYOND THE WALLS CHURCH,"101 WOODFORD AVE ELYRIA, OH 44035-5436",101 WOODFORD AVE,ELYRIA,OH,44035-5436
273401380,SUMMIT BELLS INC,"1 GREENWOOD DR DOYLESTOWN, OH 44230-9787",1 GREENWOOD DR,DOYLESTOWN,OH,44230-9787
273555757,AMERICAN FOUNDRY SOCIETY,"1000 NAVE RD SE MASSILLON, OH 44646-9478",1000 NAVE RD SE,MASSILLON,OH,44646-9478
273643787,ROSSFORD CONVENTION AND VISTORS BUREAU INC,"1001 DIXIE HWY STE D ROSSFORD, OH 43460-1389",1001 DIXIE HWY STE D,ROSSFORD,OH,43460-1389
273763993,MEMORIAL PROFESSIONAL SERVICES LTD,"100 MADISON AVE TOLEDO, OH 43604-1516",100 MADISON AVE,TOLEDO,OH,43604-1516
273793807,APEX CHURCH,"1001 MOUNT VERNON AVE MARION, OH 43302-5536",1001 MOUNT VERNON AVE,MARION,OH,43302-5536
273831781,PANDORA AREA CHAMBER OF COMMERCE INC,"101 N MAIN ST BLUFFTON, OH 45817-1245",101 N MAIN ST,BLUFFTON,OH,45817-1245
273893304,PTA OHIO CONGRESS,"100 HIGH ST SOMERSET, OH 43783-9707",100 HIGH ST,SOMERSET,OH,43783-9707
274009517,HARVEST LIFE WORSHIP CENTER INC,"1003 N NORTH ST WSHNGTN CT HS, OH 43160-1146",1003 N NORTH ST,WSHNGTN CT HS,OH,43160-1146
274235856,WHITE STONE GRACE BRETHREN CHURCH,"102 PARKDALE DR JOHNSTOWN, OH 43031-1361",102 PARKDALE DR,JOHNSTOWN,OH,43031-1361
274254089,BUILDING FOR TOMORROW,"100 WEST CEDAR STREET AKRON, OH 44307-2569",100 WEST CEDAR STREET,AKRON,OH,44307-2569
274649144,AFRICAN INTERNATIONAL LUTHERAN MISSION,"1015 E MAIN ST COLUMBUS, OH 43205-2374",1015 E MAIN ST,COLUMBUS,OH,43205-2374
274826653,THE OHIO STATE UNIVERSITY,"06879 EVANSPORT ROAD DEFIANCE, OH 43512-6766",06879 EVANSPORT ROAD,DEFIANCE,OH,43512-6766
275234048,NATIONWIDE ASSOCIATE NETWORK,"1 NATIONWIDE PLZ COLUMBUS, OH 43215-2226",1 NATIONWIDE PLZ,COLUMBUS,OH,43215-2226
300011756,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,"10231 RAVENNA RD TWINSBURG, OH 44087-1722",10231 RAVENNA RD,TWINSBURG,OH,44087-1722
300036023,RIVER OF LIFE CHRISTIAN FELLOWSHIP,"101 CALIFORNIA PIKE BEAVER, OH 45613-9778",101 CALIFORNIA PIKE,BEAVER,OH,45613-9778
300061245,THE OHIO STATE UNIVERSITY,"1013 WINDAMERE LN SANDUSKY, OH 44870-7259",1013 WINDAMERE LN,SANDUSKY,OH,44870-7259
300063026,AMVETS,"102 S ADAMS ST MIDDLE POINT, OH 45863-9001",102 S ADAMS ST,MIDDLE POINT,OH,45863-9001
300072130,OHIO STATE UNIVERSITY,"1015 LOMBARD CHUCKERY RD PLAIN CITY, OH 43064-9699",1015 LOMBARD CHUCKERY RD,PLAIN CITY,OH,43064-9699
300133373,DOWNTOWN BELLEFONTAINE PARTNERSHIP INC,"100 S MAIN ST BELLEFONTAINE, OH 43311-2007",100 S MAIN ST,BELLEFONTAINE,OH,43311-2007
300146634,INDIAN CREEK LOCAL SCHOOL DISTRICTS FOUNDATION INC,"100 PARK DR WINTERSVILLE, OH 43953-3943",100 PARK DR,WINTERSVILLE,OH,43953-3943
300175579,ATHENS COUNTY COURT APPOINTED SPECIAL ADVOCATES GUARDIANS AD LIT,"1 SOUTH COURT STREET ATHENS, OH 45701-2824",1 SOUTH COURT STREET,ATHENS,OH,45701-2824
300207231,DAYTON PEACE MUSEUM,"10 N LUDLOW STREET DAYTON, OH 45402-1854",10 N LUDLOW STREET,DAYTON,OH,45402-1854
300223012,TRI STATE BRAIN ANEURYSM SUPPORT GROUP INC,"10005 HUMPHREY RD CINCINNATI, OH 45242-4619",10005 HUMPHREY RD,CINCINNATI,OH,45242-4619
300252370,SOUTHWEST OHIO REGION WORKFORCE INVESTMENT BOARD,"100 SCARLET OAKS DR CINCINNATI, OH 45241-1578",100 SCARLET OAKS DR,CINCINNATI,OH,45241-1578
300253152,EASTLAND NEIGHBORHOOD CORPORATION,"100 W CEDAR ST AKRON, OH 44307-2569",100 W CEDAR ST,AKRON,OH,44307-2569
300272454,COMMUNITY MERCY HEALTH SYSTEM,"100 MEDICAL CENTER DR SPRINGFIELD, OH 45504-2687",100 MEDICAL CENTER DR,SPRINGFIELD,OH,45504-2687
300277911,OHIO CREDIT UNION DEFENSE COALITION,"10 W BROAD ST STE 1100 COLUMBUS, OH 43215-3482",10 W BROAD ST STE 1100,COLUMBUS,OH,43215-3482
300350482,VINEYARD CHURCH OF DELAWARE COUNTY,"1001 W CHERRY ST SUNBURY, OH 43074-8015",1001 W CHERRY ST,SUNBURY,OH,43074-8015
300375902,ADVISORY COMMITTEE TO WESTERN RESERVE NATIONAL CEMETERY,"10175 RAWIGA RD SEVILLE, OH 44273-9750",10175 RAWIGA RD,SEVILLE,OH,44273-9750
300454623,THE OHIO STATE UNIVERSITY,"101 N MAIN ST RM 17 WOODSFIELD, OH 43793-1070",101 N MAIN ST RM 17,WOODSFIELD,OH,43793-1070
300523295,RIVER VIEW EDUCATION ASSOCIATION,"1002 HIGHLAND BLVD COSHOCTON, OH 43812-2719",1002 HIGHLAND BLVD,COSHOCTON,OH,43812-2719
300591175,MADISON COUNTY FUTURE INC,"1 NORTH MAIN ST LONDON, OH 43140-1068",1 NORTH MAIN ST,LONDON,OH,43140-1068
300996970,PEACE BY PIECE CLEVELAND,"10237 BEREA RD CLEVELAND, OH 44102-2527",10237 BEREA RD,CLEVELAND,OH,44102-2527
301424238,GATHERING HOUSE,"10012 BURTON AVE BRATENAHL, OH 44108-1003",10012 BURTON AVE,BRATENAHL,OH,44108-1003
306029354,RICHARD GORDON WENDT GIFT TRUST,"100 E WATER ST SANDUSKY, OH 44870-2524",100 E WATER ST,SANDUSKY,OH,44870-2524
310216130,CINCINNATI BETTER BUSINESS BUREAU INC,"1 E 4TH ST STE 600 CINCINNATI, OH 45202-3718",1 E 4TH ST STE 600,CINCINNATI,OH,45202-3718
310235620,CATHOLIC TELEGRAPH,"100 EAST EIGHTH STREET CINCINNATI, OH 45202-2129",100 EAST EIGHTH STREET,CINCINNATI,OH,45202-2129
310248120,UNITED UNION OF ROOFERS 42 RDWA,"1010 YALE AVE CINCINNATI, OH 45206-1219",1010 YALE AVE,CINCINNATI,OH,45206-1219
310387145,0197 UNIVERSAL 1 CREDIT UNION INC,"1 RIVER PARK DR DAYTON, OH 45409-2104",1 RIVER PARK DR,DAYTON,OH,45409-2104
310420695,REST HAVEN MEMORIAL PARK ASSOCIATION INC,"10209 PLAINFIELD RD CINCINNATI, OH 45241-3227",10209 PLAINFIELD RD,CINCINNATI,OH,45241-3227
310536651,BOY SCOUTS OF AMERICA,"10078 READING RD CINCINNATI, OH 45241-4833",10078 READING RD,CINCINNATI,OH,45241-4833
310536662,FORT HAMILTON HOSPITAL,"1 PRESTIGE PLACE 910 MIAMISBURG, OH 45342-3794",1 PRESTIGE PLACE 910,MIAMISBURG,OH,45342-3794
310536710,ARCHDIOCESE OF CINCINNATI CATHOLIC EDUCATION OFFICE,"100 E EIGHTH ST CINCINNATI, OH 45202-2129",100 E EIGHTH ST,CINCINNATI,OH,45202-2129
310538501,ARCHDIOCESE OF CINCINNATI,"100 EAST 8TH STREET CINCINNATI, OH 45202-2129",100 EAST 8TH STREET,CINCINNATI,OH,45202-2129
310548040,CHAPTER HOUSE ASSOCIATION OF CHI CHAPTER OF ALPHA DELTA PI,"1019 N FOUNTAIN AVE SPRINGFIELD, OH 45504-2227",1019 N FOUNTAIN AVE,SPRINGFIELD,OH,45504-2227
310552289,CENTRAL UNITED METHODIST CHURCH,"102 W HIGH ST SPRINGFIELD, OH 45502-1220",102 W HIGH ST,SPRINGFIELD,OH,45502-1220
310564121,DAYTON OSTEOPATHIC HOSPITAL,"1 PRESTIGE PLACE 910 MIAMISBURG, OH 45342-3794",1 PRESTIGE PLACE 910,MIAMISBURG,OH,45342-3794
310568478,LINDEN AVE BAPTIST CHURCH,"101 LINDEN AVE DAYTON, OH 45403-1918",101 LINDEN AVE,DAYTON,OH,45403-1918
310573922,COLORADO AVE BAPTIST CHURCH,"101 HEATON AVE DAYTON, OH 45410-1729",101 HEATON AVE,DAYTON,OH,45410-1729
310599379,CINCINNATI ART CLUB,"1021 PARKSIDE PL CINCINNATI, OH 45202-6601",1021 PARKSIDE PL,CINCINNATI,OH,45202-6601
310624668,MT ZION OF WOODLAWN BAPTIST CHURCH,"10180 WOODLAWN BLVD CINCINNATI, OH 45215-1325",10180 WOODLAWN BLVD,CINCINNATI,OH,45215-1325
310642935,FAIRBORN ST LUKE UNITED METHODIST CHURCH,"100 N BROAD ST FAIRBORN, OH 45324-4804",100 N BROAD ST,FAIRBORN,OH,45324-4804
310672132,DAYTON CHILDRENS HOSPITAL,"1 CHILDRENS PLZAZA DAYTON, OH 45404-0000",1 CHILDRENS PLZAZA,DAYTON,OH,45404-0000
310715552,FRIENDSHIP UNITED METHODIST CHURCH,"1025 SPRINGFIELD PIKE WYOMING, OH 45215-2636",1025 SPRINGFIELD PIKE,WYOMING,OH,45215-2636
310728087,WILLOW BROOK CHRISTIAN COMMUNITIES,"100 DELAWARE CROSSING W DELAWARE, OH 43015-7853",100 DELAWARE CROSSING W,DELAWARE,OH,43015-7853
310735977,FRANKLIN MASONIC TEMPLE ASSN INC,"100 WELLS BRIDGE DR FRANKLIN, OH 45005-0000",100 WELLS BRIDGE DR,FRANKLIN,OH,45005-0000
310736673,FITTON CENTER FOR CREATIVE ARTS,"101 S MONUMENT AVE HAMILTON, OH 45011-2833",101 S MONUMENT AVE,HAMILTON,OH,45011-2833
310737105,PASAPO BOAT CLUB,"1006 S BROAD ST LANCASTER, OH 43130-4629",1006 S BROAD ST,LANCASTER,OH,43130-4629
310785627,FAMILY HEALTH SERVICES OF EAST CENTRAL OHIO,"100 MCMILLEN DR NEWARK, OH 43055-1809",100 MCMILLEN DR,NEWARK,OH,43055-1809
310785684,COMMUNITY MERCY HEALTH PARTNERS,"100 MEDICAL CENTER DR SPRINGFIELD, OH 45504-2687",100 MEDICAL CENTER DR,SPRINGFIELD,OH,45504-2687
310798490,FAIRBORN PRESCHOOL AND DAYCARE,"100 N BROAD ST FAIRBORN, OH 45324-4804",100 N BROAD ST,FAIRBORN,OH,45324-4804
310805764,SCIOTO HILLS BAPTIST CAMP INC,"1009 MARTIN ROAD WHEELERSBURG, OH 45694-7801",1009 MARTIN ROAD,WHEELERSBURG,OH,45694-7801
310809436,GREENE MEMORIAL HOSPITAL INC,"1 PRESTIGE PLACE 910 MIAMISBURG, OH 45342-3794",1 PRESTIGE PLACE 910,MIAMISBURG,OH,45342-3794
310810220,ALPHA GROUP OF DELAWARE INC,"1000 ALPHA DR DELAWARE, OH 43015-8642",1000 ALPHA DR,DELAWARE,OH,43015-8642
310811788,CORPORATION FOR OHIO APPALACHIAN DEVELOPMENT,"1 PINCHOT PL ATHENS, OH 45701-2135",1 PINCHOT PL,ATHENS,OH,45701-2135
310812413,MEIGS COUNTY COUNCIL ON AGING INC,"100 BLAKESLEE DR MIDDLEPORT, OH 45760-1512",100 BLAKESLEE DR,MIDDLEPORT,OH,45760-1512
310813288,NORTH AMERICAN LUTHERAN CHURCH,"100 E SCHROCK RD WESTERVILLE, OH 43081-3447",100 E SCHROCK RD,WESTERVILLE,OH,43081-3447
310814891,GUERNSEY COUNTY SENIOR CITIZENS CENTER INC,"1022 CARLISLE AVE CAMBRIDGE, OH 43725-2420",1022 CARLISLE AVE,CAMBRIDGE,OH,43725-2420
310828690,FREE & ACCEPTED MASONS OF OHIO,"100 WELLS BRIDGE DR FRANKLIN, OH 45005-0000",100 WELLS BRIDGE DR,FRANKLIN,OH,45005-0000
310872941,MARIETTA FIRST CHURCH OF THE NAZARENE,"100 MILL CREEK RD MARIETTA, OH 45750-1381",100 MILL CREEK RD,MARIETTA,OH,45750-1381
310884880,GREENE MEMORIAL HOSPITAL AUXILIARY INC,"1 PRESTIGE PLACE 910 MIAMISBURG, OH 45342-3794",1 PRESTIGE PLACE 910,MIAMISBURG,OH,45342-3794
310885009,OHIO WINE PRODUCERS ASSOCIATION,"1 S BROADWAY GENEVA, OH 44041-1827",1 S BROADWAY,GENEVA,OH,44041-1827
310886949,GREENE FOUNDATION,"1 PRESTIGE PLACE 910 MIAMISBURG, OH 45342-3794",1 PRESTIGE PLACE 910,MIAMISBURG,OH,45342-3794
310891124,WEST JEFFERSON ATHLETIC BOOSTERS INC,"1 ROUGHRIDER DR W JEFFERSON, OH 43162-1360",1 ROUGHRIDER DR,W JEFFERSON,OH,43162-1360
310895102,MCARTHUR BUSINESS AND PROFESSIONAL WOMENS CLUB OF MCARTHUR OHIO,"100 EAST MAIN STREET MCARTHUR, OH 45651-1267",100 EAST MAIN STREET,MCARTHUR,OH,45651-1267
310896463,FRATERNAL ORDER OF EAGLES,"1007 HOLLANDER ST NEWARK, OH 43055-6020",1007 HOLLANDER ST,NEWARK,OH,43055-6020
310896842,SUNBURY UNITED METHODIST CHURCH,"100 W CHERRY ST SUNBURY, OH 43074-9354",100 W CHERRY ST,SUNBURY,OH,43074-9354
310898871,FIRST BAPTIST CHURCH WAYNESVILLE,"1009 LYTLE RD WAYNESVILLE, OH 45068-8474",1009 LYTLE RD,WAYNESVILLE,OH,45068-8474
310902167,BETHEL COMMUNITY CHURCH,"1020 LOWER BELLBROOK RD XENIA, OH 45385-7303",1020 LOWER BELLBROOK RD,XENIA,OH,45385-7303
310919692,AMERICAN LEGION,"1000 ST RT 35 WEST EATON, OH 45320-8641",1000 ST RT 35 WEST,EATON,OH,45320-8641
310921326,PEACE OF OUR SAVIOR LUTHERAN CHURCH,"1025 CLIFFSIDE DR NEW CARLISLE, OH 45344-2442",1025 CLIFFSIDE DR,NEW CARLISLE,OH,45344-2442
310922300,FORMICA-EVENDALE FEDERAL CREDIT UNION,"10155 READING RD CINCINNATI, OH 45241-3109",10155 READING RD,CINCINNATI,OH,45241-3109
310927482,HOLZER FOUNDATION,"100 JACKSON PIKE GALLIPOLIS, OH 45631-1560",100 JACKSON PIKE,GALLIPOLIS,OH,45631-1560
310932129,BETHANY LUTHERAN CHURCH,"1000 NOE-BIXBY RD COLUMBUS, OH 43213-0000",1000 NOE-BIXBY RD,COLUMBUS,OH,43213-0000
310934004,AMVETS,"1016 LEO ST DAYTON, OH 45404-1670",1016 LEO ST,DAYTON,OH,45404-1670
310945154,VALLEY GRANGE 1580,"100 PINE CT APT D CAMBRIDGE, OH 43725-8729",100 PINE CT APT D,CAMBRIDGE,OH,43725-8729
310955365,BIKE MIAMI VALLEY OHIO,"10 N LUDLOW ST SUITE 727 DAYTON, OH 45402-1854",10 N LUDLOW ST SUITE 727,DAYTON,OH,45402-1854
310955974,GERMAN SHEPHERD DOG CLUB OF CENTRAL OHIO,"100 CHASE RD COLUMBUS, OH 43214-1168",100 CHASE RD,COLUMBUS,OH,43214-1168
310964056,COVINGTON-NEWBERRY HISTORICAL,"101 E SPRING ST COVINGTON, OH 45318-1532",101 E SPRING ST,COVINGTON,OH,45318-1532
310965142,1291 CINCINNATI EMPLOYEES CREDIT UNION INC,"1003 HARRISON AVE STE 200 HARRISON, OH 45030-2132",1003 HARRISON AVE STE 200,HARRISON,OH,45030-2132
310968010,FRIENDS OF AULLWOOD INC,"1000 AULLWOOD RD DAYTON, OH 45414-1129",1000 AULLWOOD RD,DAYTON,OH,45414-1129
310969134,MILFORD EDUCATION ASSOCIATION,"1 EAGLES WAY MILFORD, OH 45150-2086",1 EAGLES WAY,MILFORD,OH,45150-2086
310971399,AREA AGENCY OF AGING DISTRICT 7 INC,"1 ACY AVE JACKSON, OH 45640-9562",1 ACY AVE,JACKSON,OH,45640-9562
310971606,ANNA LOCAL TEACHERS ASSOCIATION,"1 MCRILL WAY ANNA, OH 45302-5030",1 MCRILL WAY,ANNA,OH,45302-5030
310976985,REYNOLDS AND REYNOLDS EMPLOYEE FOUNDATION,"1 REYNOLDS WAY KETTERING, OH 45430-1586",1 REYNOLDS WAY,KETTERING,OH,45430-1586
310980470,FRATERNAL ORDER OF EAGLES,"1007 HOLLANDER ST NEWARK, OH 43055-6020",1007 HOLLANDER ST,NEWARK,OH,43055-6020
310980554,ALTERNATIVE RESIDENCES TWO INC,"100 W MAIN ST ST CLAIRSVILLE, OH 43950-1275",100 W MAIN ST,ST CLAIRSVILLE,OH,43950-1275
310981034,NELSONVILLE PUBLIC SQUARE INC DEW HOUSE,"10 HOPE DR ATHENS, OH 45701-2136",10 HOPE DR,ATHENS,OH,45701-2136
310993285,BETH ADAM INC,"10001 LOVELAND MADEIRA RD LOVELAND, OH 45140-8956",10001 LOVELAND MADEIRA RD,LOVELAND,OH,45140-8956
311003040,EITZ CHAIM YESHIVA,"10170 CROSIER LN BLUE ASH, OH 45242-5721",10170 CROSIER LN,BLUE ASH,OH,45242-5721
311013242,NEW CALIFORNIA PRESBYTERIAN CHURCH,"10089 INDUSTRIAL PKWY MARYSVILLE, OH 43040-8850",10089 INDUSTRIAL PKWY,MARYSVILLE,OH,43040-8850
311020672,SERVICE ASSOCIATION OF OHIO INC,"1 SHEAKLEY WAY CINCINNATI, OH 45246-3778",1 SHEAKLEY WAY,CINCINNATI,OH,45246-3778
311022688,OHIO MINORITY SUPPLIER DEVELOPMENT COUNCIL,"100 E BROAD ST STE 2460 COLUMBUS, OH 43215-3618",100 E BROAD ST STE 2460,COLUMBUS,OH,43215-3618
311027156,FIRST CHURCH OF GOD,"10 PINE ST MOUNT VERNON, OH 43050-4528",10 PINE ST,MOUNT VERNON,OH,43050-4528
311036901,FRIENDS OF THE GROOM INC,"100 MIAMI AVE TERRACE PARK, OH 45174-1175",100 MIAMI AVE,TERRACE PARK,OH,45174-1175
311039509,MOUNT OLIVE BAPTIST CHURCH OF CAMP DENNISON INC,"10048 CAMPBELL ST CAMP DENNISON, OH 45111-9718",10048 CAMPBELL ST,CAMP DENNISON,OH,45111-9718
311045247,DAYTON CHILDRENS HOSPITAL FOUNDATION,"1 CHILDRENS PLZ DAYTON, OH 45404-1873",1 CHILDRENS PLZ,DAYTON,OH,45404-1873
311050638,LEAGUE OF WOMEN VOTERS OF OHIO EDUCATION FUND,"100 E BROAD ST STE 1310 COLUMBUS, OH 43215-3631",100 E BROAD ST STE 1310,COLUMBUS,OH,43215-3631
311051688,KETTERING ADVENTIST HEALTHCARE,"1 PRESTIGE PLACE 910 MIAMISBURG, OH 45342-3794",1 PRESTIGE PLACE 910,MIAMISBURG,OH,45342-3794
311051969,ROCK HILL EDUCATION ASSOCIATION,"10254 STATE ROUTE 141 KITTS HILL, OH 45645-8664",10254 STATE ROUTE 141,KITTS HILL,OH,45645-8664
311054953,ACTORS THEATRE OF COLUMBUS,"1000 CITY PARK AVE COLUMBUS, OH 43206-2515",1000 CITY PARK AVE,COLUMBUS,OH,43206-2515
311056893,THE OHIO STATE UNIVERSITY,"10130 HILLGROVE FORT RECOVER RD UNION CITY, OH 45390-8662",10130 HILLGROVE FORT RECOVER RD,UNION CITY,OH,45390-8662
311069635,HERITAGE BIBLE CHURCH,"1004 SELLS AVE COLUMBUS, OH 43212-1326",1004 SELLS AVE,COLUMBUS,OH,43212-1326
311072406,PIKE HEALTH SERVICES INC,"100 DAWN LANE WAVERLY, OH 45690-9138",100 DAWN LANE,WAVERLY,OH,45690-9138
311072427,FRIENDSHIP CO-OPERATIVE NURSERY SCHOOL,"1025 SPRINGFIELD PIKE CINCINNATI, OH 45215-2636",1025 SPRINGFIELD PIKE,CINCINNATI,OH,45215-2636
311073057,WE CAN--BUSINESS INCUBATOR INC,"1028 CENTRAL AVENUE 28 MIDDLETOWN, OH 45044-4009",1028 CENTRAL AVENUE 28,MIDDLETOWN,OH,45044-4009
311080516,CLOUGH PIKE BAPTIST CHURCH,"1025 CLOUGH PIKE CINCINNATI, OH 45245-1915",1025 CLOUGH PIKE,CINCINNATI,OH,45245-1915
311080791,LIBERTY MISSIONARY BAPTIST CHURCH,"1009 OVERLOOK AVE CINCINNATI, OH 45238-4418",1009 OVERLOOK AVE,CINCINNATI,OH,45238-4418
311080822,ACTUARIES CLUB OF INDIANA KENTUCKY AND OHIO,"1 NATIONWIDE PLZ COLUMBUS, OH 43215-2226",1 NATIONWIDE PLZ,COLUMBUS,OH,43215-2226
311081276,COMMUNITY IMPROVEMENT CORPORATION OF LOCKLAND,"101 N COOPER AVE LOCKLAND, OH 45215-3008",101 N COOPER AVE,LOCKLAND,OH,45215-3008
311083169,READING FIRE DEPARTMENT INC,"1000 MARKET ST CINCINNATI, OH 45215-3209",1000 MARKET ST,CINCINNATI,OH,45215-3209
311083624,PREBLE COUNTY BAR & LAW LIBRARY ASSOCIATION,"101 E MAIN STREET EATON, OH 45320-1790",101 E MAIN STREET,EATON,OH,45320-1790
311084383,HAMDEN UNITED METHODIST CHURCH,"10 W CHILLICOTHE ST HAMDEN, OH 45634-0000",10 W CHILLICOTHE ST,HAMDEN,OH,45634-0000
311086387,EDGEWOOD BAPTIST CHURCH,"1010 W STATE ST TRENTON, OH 45067-1586",1010 W STATE ST,TRENTON,OH,45067-1586
311087735,BIBLE TEMPLE OF GOD OF NEWARK INC,"1 FAYE DR HEATH, OH 43055-1349",1 FAYE DR,HEATH,OH,43055-1349
311088009,FRIENDS OF THE J R CLARKE PUBLIC LIBRARY,"102 E SPRING ST COVINGTON, OH 45318-1500",102 E SPRING ST,COVINGTON,OH,45318-1500
311090663,LIFE CHURCH PENTECOSTAL CHURCH OF GOD,"101 LANCASTER DR HEATH, OH 43056-1220",101 LANCASTER DR,HEATH,OH,43056-1220
